,Text,Tag,Value,doc_id,ID,Prediction
0,一部内容に変更がありましたので、朱字のとおり修正させていただきます。,,,300351813,300351813-1,
1,（平成 ３０ 年 ２ 月 ２ 日）,仕様書交付期限,平成３０年２月２日）,300351813,300351813-2,
2,入 札 公 告,,,300351813,300351813-3,
3,次の通り一般競争入札に付します。,,,300351813,300351813-4,
4,平成３０年２月２日,公告日,平成３０年２月２日,300351813,300351813-5,
5,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351813,300351813-6,
6,契約担当役 資源備蓄本部長 渡辺 正俊,,,300351813,300351813-7,
7,１．競争入札に付する事項,,,300351813,300351813-8,
8,（１）件名 七尾国家石油ガス備蓄基地 高圧電力購入（平成３０年度）,入札件名;施設名,七尾国家石油ガス備蓄基地高圧電力購入（平成３０年度）;尾国家石油,300351813,300351813-9,
9,（２）調達件名の物質等 高圧電力,,,300351813,300351813-10,
10,契約電力：１，４５０ｋＷ 年間予定使用電力量：４，４３７千ｋＷｈ,,,300351813,300351813-11,
11,（３）契約期間 平成３０年４月１日から平成３１年３月３１日,調達年度;調達終了日;調達開始日,平成３０年;平成３１年３月３１日;平成３０年４月１日,300351813,300351813-12,
12,（４）入札方法,,,300351813,300351813-13,
13,一般競争入札,,,300351813,300351813-14,
14,入札金額は、各社において設定する契約電力に対する単一の単価（ｋＷ単価）及び,,,300351813,300351813-15,
15,使用電力量に対する単価（ｋＷｈ単価）を記載すること（その他単価内訳がある場合、,,,300351813,300351813-16,
16,該当するものの内訳を別途提出すること）。また、託送料が必要な事業者にあっては、,,,300351813,300351813-17,
17,その内訳を記載すること（小数点以下を含むことができる）。,,,300351813,300351813-18,
18,落札の決定には、入札書に記載された入札金額に従って、独立行政法人石油天然ガ,,,300351813,300351813-19,
19,ス・金属鉱物資源機構（以下「機構」という。）が提示する計画使用電力量を基に計算,,,300351813,300351813-20,
20,した総価で行うので、当該総価を上記の単価と併せて記載すること（各社において、,,,300351813,300351813-21,
21,電力料金における各種サービスがある場合には、その金額を織り込んだものを総価と,,,300351813,300351813-22,
22,すること）。,,,300351813,300351813-23,
23,なお、総価は消費税額を含む金額とすることとし、入札書に記載された入札金額（単,,,300351813,300351813-24,
24,価）に消費税を含まない場合の入札者については、消費税及び地方消費税に係る課税,,,300351813,300351813-25,
25,事業者であるか免税事業者であるかを問わず、入札書には入札者が見積もった価格の,,,300351813,300351813-26,
26,１０８分の１００に該当する金額を入札書に記載すること。,,,300351813,300351813-27,
27,２．競争に参加する者に必要な資格に関する事項,,,300351813,300351813-28,
28,下記全ての条件を満たすものとする。,,,300351813,300351813-29,
29,（１）機構の「競争参加者の資格に関する公示」の「３競争に参加することができない者」,,,300351813,300351813-30,
30,に該当しない者であること。,,,300351813,300351813-31,
31,（２）平成２９・３０・３１年度競争参加資格（全省庁統一資格）の「物品の販売」にお,,,300351813,300351813-32,
32,いて「Ａ」の格付けされている者であること。当該参加資格を有していない者であ,,,300351813,300351813-33,
33,っても、一般競争等参加者資格審査を受け、入札執行時までに当該等級に格付けさ,,,300351813,300351813-34,
34,れた者であること。,,,300351813,300351813-35,
35,（３）現在、国又は政府関係機関等から補助金交付の停止又は契約に係る指名停止等の行,,,300351813,300351813-36,
36,政処分を受けていないこと。,,,300351813,300351813-37,
37,1,,,300351813,300351813-38,
38,（４）電気事業法第２条の２の規定に基づく小売電気事業の許可を得ている者（以下「電,,,300351813,300351813-39,
39,気事業者」という。）であり、現に売電を実施していること。,,,300351813,300351813-40,
40,（５）七尾基地に設置した受電設備及び使用する負荷設備に対し、電力供給が可能な者で,,,300351813,300351813-41,
41,あること。,,,300351813,300351813-42,
42,（６）省CO 化の観点から、入札説明書に記載する基準により「裾切り方式」を実施し、条 2,,,300351813,300351813-43,
43,件を満たすこと。,,,300351813,300351813-44,
44,（７）一般競争入札参加申請書を提出し、さらに入札参加資格の通知を受けた者であるこ,,,300351813,300351813-45,
45,と。,,,300351813,300351813-46,
46,３．契約条項を示す場所等,,,300351813,300351813-47,
47,（１）契約条項を示す場所及び問い合わせ先,,,300351813,300351813-48,
48,ア．〒１０５－０００１,,,300351813,300351813-49,
49,東京都港区虎ノ門二丁目１０番１号 虎ノ門ツインビルディング１４階,資格申請送付先;質問箇所所属/担当者,０００１二丁目１０番１号虎ノ門ツインビルディング１４階;１００００１東京都港区虎ノ門二丁目１０番１号虎ノ門ツインビルディング１４階,300351813,300351813-50,
50,独立行政法人石油天然ガス・金属鉱物資源機構,,,300351813,300351813-51,
51,石油ガス備蓄部 基地管理課 石井 祐一（不在時：畑 薫）,,,300351813,300351813-52,
52,ＴＥＬ：０３－６７５８－８６０６ ＦＡＸ：０３－６７５８－８０６５,質問箇所TEL/FAX,０３－６７５８－８６０６：０３－６７５８－８０６５,300351813,300351813-53,
53,Ｅ－ＭＡＩＬ：ishii-yuichi@jogmec.go.jp（石井）,,,300351813,300351813-54,
54,hata-kaoru@jogmec.go.jp（畑）,,,300351813,300351813-55,
