,doc,index,ID,Tag,Value
0,300351389,1,300351389-1,,
1,300351389,2,300351389-2,,
2,300351389,3,300351389-3,公告日,平成３０年１月１８日
3,300351389,4,300351389-4,,
4,300351389,5,300351389-5,,
5,300351389,6,300351389-6,,
6,300351389,7,300351389-7,,
7,300351389,8,300351389-8,入札件名,むつ小川原国家石油備蓄基地電力購入（平成３０年度）
8,300351389,9,300351389-9,,
9,300351389,10,300351389-10,,
10,300351389,11,300351389-11,,
11,300351389,12,300351389-12,,
12,300351389,13,300351389-13,,
13,300351389,14,300351389-14,,
14,300351389,15,300351389-15,,
15,300351389,16,300351389-16,,
16,300351389,17,300351389-17,,
17,300351389,18,300351389-18,,
18,300351389,19,300351389-19,,
19,300351389,20,300351389-20,,
20,300351389,21,300351389-21,,
21,300351389,22,300351389-22,,
22,300351389,23,300351389-23,調達年度;調達終了日;調達開始日,平成３０年;平成３１年３月３１日;平成３０年４月１日
23,300351389,24,300351389-24,,
24,300351389,25,300351389-25,,
25,300351389,26,300351389-26,,
26,300351389,27,300351389-27,,
27,300351389,28,300351389-28,都道府県;需要場所(住所),青森県;青森県上北郡六ヶ所村大字字二又５２５番地２
28,300351389,29,300351389-29,施設名,むつ小川原国家石油備蓄基地
29,300351389,30,300351389-30,,
30,300351389,31,300351389-31,,
31,300351389,32,300351389-32,都道府県;需要場所(住所),青森県上北郡六ヶ所村大字字沖付１１１番地;青森県上北郡六ヶ所村大字字沖付１１１番地
32,300351389,33,300351389-33,施設名,むつ小川原国家石油備蓄基地中継ポンプ場
33,300351389,34,300351389-34,,
34,300351389,35,300351389-35,都道府県;需要場所(住所),青森県上北郡六ヶ所村大字字表舘２番地３９;青森県上北郡六ヶ所村大字字表舘２番地３９
35,300351389,36,300351389-36,施設名,むつ小川原国家石油備蓄基地消火用水取水場
36,300351389,37,300351389-37,,
37,300351389,38,300351389-38,,
